"","ValueID","IndicatorID","InsertDate","Numerator","Denominator","IndicatorValue","IndicatorValueType","LowerCI95","UpperCI95","AggregationType","AggregationLabel","FiscalYear","Gender","AgeGroup","IMD","EthnicityCode","NHSCodeDefinition","StatusID","DataQualityID","IndicatorStartDate","IndicatorEndDate"
"97",97,49,2024-05-29,2,137,1459.85401459854,"Ethnicity-IMD Crude Rate",176.795093827712,5273.49464797369,"ICB","BSOL ICB","2020/2021","Persons","65+","Q3","L","Asian or Asian British - Any other Asian background",1,1,2020-04-01,2021-03-31
"98",98,49,2024-05-29,5,137,3649.63503649635,"Ethnicity-IMD Crude Rate",1185.02656213023,8517.03071483406,"ICB","BSOL ICB","2021/2022","Persons","65+","Q3","L","Asian or Asian British - Any other Asian background",1,1,2021-04-01,2022-03-31
"99",99,49,2024-05-29,5,137,3649.63503649635,"Ethnicity-IMD Crude Rate",1185.02656213023,8517.03071483406,"ICB","BSOL ICB","2022/2023","Persons","65+","Q3","L","Asian or Asian British - Any other Asian background",1,1,2022-04-01,2023-03-31
"100",100,49,2024-05-29,4,137,2919.70802919708,"Ethnicity-IMD Crude Rate",795.522170530164,7475.61217182752,"ICB","BSOL ICB","2023/2024","Persons","65+","Q3","L","Asian or Asian British - Any other Asian background",1,1,2023-04-01,2024-03-31
"101",101,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2019/2020","Persons","65+","Q3","Z","Not stated",1,1,2019-04-01,2020-03-31
"102",102,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2020/2021","Persons","65+","Q3","Z","Not stated",1,1,2020-04-01,2021-03-31
"103",103,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2021/2022","Persons","65+","Q3","Z","Not stated",1,1,2021-04-01,2022-03-31
"104",104,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2022/2023","Persons","65+","Q3","Z","Not stated",1,1,2022-04-01,2023-03-31
"105",105,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2023/2024","Persons","65+","Q3","Z","Not stated",1,1,2023-04-01,2024-03-31
"106",106,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2019/2020","Persons","65+","Q3",NA,NA,1,1,2019-04-01,2020-03-31
"107",107,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2020/2021","Persons","65+","Q3",NA,NA,1,1,2020-04-01,2021-03-31
"108",108,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2021/2022","Persons","65+","Q3",NA,NA,1,1,2021-04-01,2022-03-31
"109",109,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2022/2023","Persons","65+","Q3",NA,NA,1,1,2022-04-01,2023-03-31
"110",110,49,2024-05-29,0,6,0,"Ethnicity-IMD Crude Rate",0,61481.3242352323,"ICB","BSOL ICB","2023/2024","Persons","65+","Q3",NA,NA,1,1,2023-04-01,2024-03-31
"111",111,49,2024-05-29,0,12,0,"Ethnicity-IMD Crude Rate",0,30740.6621176161,"ICB","BSOL ICB","2019/2020","Persons","65+","Q4","E","Mixed - White and Black African",1,1,2019-04-01,2020-03-31
"112",112,49,2024-05-29,0,12,0,"Ethnicity-IMD Crude Rate",0,30740.6621176161,"ICB","BSOL ICB","2020/2021","Persons","65+","Q4","E","Mixed - White and Black African",1,1,2020-04-01,2021-03-31
"113",113,49,2024-05-29,0,12,0,"Ethnicity-IMD Crude Rate",0,30740.6621176161,"ICB","BSOL ICB","2021/2022","Persons","65+","Q4","E","Mixed - White and Black African",1,1,2021-04-01,2022-03-31
"114",114,49,2024-05-29,0,12,0,"Ethnicity-IMD Crude Rate",0,30740.6621176161,"ICB","BSOL ICB","2022/2023","Persons","65+","Q4","E","Mixed - White and Black African",1,1,2022-04-01,2023-03-31
"115",115,49,2024-05-29,0,12,0,"Ethnicity-IMD Crude Rate",0,30740.6621176161,"ICB","BSOL ICB","2023/2024","Persons","65+","Q4","E","Mixed - White and Black African",1,1,2023-04-01,2024-03-31
"116",116,49,2024-05-29,4,119,3361.34453781513,"Ethnicity-IMD Crude Rate",915.853255148172,8606.37703815437,"ICB","BSOL ICB","2019/2020","Persons","65+","Q4","L","Asian or Asian British - Any other Asian background",1,1,2019-04-01,2020-03-31
"117",117,49,2024-05-29,5,119,4201.68067226891,"Ethnicity-IMD Crude Rate",1364.27427741044,9805.32107506107,"ICB","BSOL ICB","2020/2021","Persons","65+","Q4","L","Asian or Asian British - Any other Asian background",1,1,2020-04-01,2021-03-31
"118",118,49,2024-05-29,6,119,5042.01680672269,"Ethnicity-IMD Crude Rate",1850.3313054545,10974.3479180829,"ICB","BSOL ICB","2021/2022","Persons","65+","Q4","L","Asian or Asian British - Any other Asian background",1,1,2021-04-01,2022-03-31
"119",119,49,2024-05-29,10,119,8403.36134453782,"Ethnicity-IMD Crude Rate",4023.06715459459,15455.0072317281,"ICB","BSOL ICB","2022/2023","Persons","65+","Q4","L","Asian or Asian British - Any other Asian background",1,1,2022-04-01,2023-03-31
"120",120,49,2024-05-29,4,119,3361.34453781513,"Ethnicity-IMD Crude Rate",915.853255148172,8606.37703815437,"ICB","BSOL ICB","2023/2024","Persons","65+","Q4","L","Asian or Asian British - Any other Asian background",1,1,2023-04-01,2024-03-31
"121",121,49,2024-05-29,0,9,0,"Ethnicity-IMD Crude Rate",0,40987.5494901548,"ICB","BSOL ICB","2019/2020","Persons","65+","Q4","Z","Not stated",1,1,2019-04-01,2020-03-31
